challenge_id,v103_id,lead_index,different_samples,max_absolute_digital_difference,mean_digital_difference,std_digital_difference,correlation
1,1,0,0,0,0.0,0.0,1.0
1,1,1,0,0,0.0,0.0,0.9999999999999999
1,1,2,0,0,0.0,0.0,0.9999999999999999
1,1,3,0,0,0.0,0.0,1.0
1,1,4,0,0,0.0,0.0,1.0
1,1,5,0,0,0.0,0.0,1.0
1,1,6,0,0,0.0,0.0,1.0
1,1,7,0,0,0.0,0.0,0.9999999999999999
1,1,8,0,0,0.0,0.0,1.0
1,1,9,0,0,0.0,0.0,0.9999999999999999
1,1,10,0,0,0.0,0.0,1.0
1,1,11,0,0,0.0,0.0,1.0
21837,21837,0,0,0,0.0,0.0,1.0
21837,21837,1,0,0,0.0,0.0,0.9999999999999999
21837,21837,2,0,0,0.0,0.0,0.9999999999999999
21837,21837,3,0,0,0.0,0.0,0.9999999999999999
21837,21837,4,0,0,0.0,0.0,1.0
21837,21837,5,0,0,0.0,0.0,1.0
21837,21837,6,0,0,0.0,0.0,1.0
21837,21837,7,0,0,0.0,0.0,1.0
21837,21837,8,0,0,0.0,0.0,1.0
21837,21837,9,0,0,0.0,0.0,1.0
21837,21837,10,0,0,0.0,0.0,1.0
21837,21837,11,0,0,0.0,0.0,1.0
138,138,0,0,0,0.0,0.0,1.0
138,138,1,0,0,0.0,0.0,0.9999999999999999
138,138,2,0,0,0.0,0.0,1.0
138,138,3,0,0,0.0,0.0,1.0
138,138,4,0,0,0.0,0.0,0.9999999999999999
138,138,5,0,0,0.0,0.0,1.0
138,138,6,0,0,0.0,0.0,1.0
138,138,7,0,0,0.0,0.0,1.0
138,138,8,0,0,0.0,0.0,1.0
138,138,9,0,0,0.0,0.0,1.0
138,138,10,0,0,0.0,0.0,1.0
138,138,11,0,0,0.0,0.0,0.9999999999999999
144,144,0,0,0,0.0,0.0,0.9999999999999999
144,144,1,0,0,0.0,0.0,1.0
144,144,2,0,0,0.0,0.0,1.0
144,144,3,0,0,0.0,0.0,0.9999999999999999
144,144,4,0,0,0.0,0.0,0.9999999999999998
144,144,5,0,0,0.0,0.0,1.0
144,144,6,0,0,0.0,0.0,1.0
144,144,7,0,0,0.0,0.0,0.9999999999999998
144,144,8,0,0,0.0,0.0,0.9999999999999999
144,144,9,0,0,0.0,0.0,0.9999999999999998
144,144,10,0,0,0.0,0.0,1.0
144,144,11,0,0,0.0,0.0,1.0
2507,2507,0,0,0,0.0,0.0,1.0
2507,2507,1,0,0,0.0,0.0,0.9999999999999998
2507,2507,2,0,0,0.0,0.0,1.0
2507,2507,3,0,0,0.0,0.0,1.0
2507,2507,4,0,0,0.0,0.0,1.0
2507,2507,5,0,0,0.0,0.0,0.9999999999999998
2507,2507,6,0,0,0.0,0.0,1.0
