record_id,rhythm,start_sample,end_sample,start_s,end_s,duration_s,noise_s_inside,contains_noise
418,UNLABELED_START,0,18,0.0,0.072,0.072,0.0,False
418,N,18,99624,0.072,398.496,398.424,0.0,False
418,VFL,99624,101499,398.496,405.996,7.5,0.0,False
418,N,101499,133092,405.996,532.368,126.372,0.0,False
418,VFL,133092,134038,532.368,536.152,3.784,0.0,False
418,N,134038,135775,536.152,543.1,6.948,0.0,False
418,VFL,135775,136628,543.1,546.512,3.412,0.0,False
418,N,136628,153057,546.512,612.228,65.716,0.0,False
418,VFL,153057,154115,612.228,616.46,4.232,0.0,False
418,N,154115,154942,616.46,619.768,3.308,0.0,False
418,VFL,154942,156291,619.768,625.164,5.396,0.0,False
418,N,156291,159442,625.164,637.768,12.604,0.0,False
418,VFL,159442,160516,637.768,642.064,4.296,0.0,False
418,N,160516,169192,642.064,676.768,34.704,0.0,False
418,VFL,169192,169807,676.768,679.228,2.46,0.0,False
418,N,169807,173054,679.228,692.216,12.988,0.0,False
418,VFL,173054,173673,692.216,694.692,2.476,0.0,False
418,N,173673,174788,694.692,699.152,4.46,0.0,False
418,VFL,174788,175403,699.152,701.612,2.46,0.0,False
418,N,175403,176259,701.612,705.036,3.424,0.0,False
418,VFL,176259,177868,705.036,711.472,6.436,0.0,False
418,N,177868,190080,711.472,760.32,48.848,0.0,False
418,VFL,190080,191249,760.32,764.996,4.676,0.0,False
418,N,191249,191807,764.996,767.228,2.232,0.0,False
418,VFL,191807,192695,767.228,770.78,3.552,0.0,False
418,N,192695,195631,770.78,782.524,11.744,0.0,False
418,VFL,195631,196794,782.524,787.176,4.652,0.0,False
418,N,196794,200211,787.176,800.844,13.668,0.0,False
418,VFL,200211,200634,800.844,802.536,1.692,0.0,False
418,N,200634,216788,802.536,867.152,64.616,0.0,False
418,VFL,216788,219038,867.152,876.152,9.0,0.0,False
418,N,219038,219961,876.152,879.844,3.692,0.0,False
418,VFL,219961,224019,879.844,896.076,16.232,0.0,False
418,N,224019,225355,896.076,901.42,5.344,0.0,False
418,VFL,225355,226057,901.42,904.228,2.808,0.0,False
418,N,226057,227211,904.228,908.844,4.616,0.0,False
418,VFL,227211,229269,908.844,917.076,8.232,0.0,False
418,N,229269,231310,917.076,925.24,8.164,0.0,False
418,VFL,231310,232724,925.24,930.896,5.656,0.0,False
418,N,232724,234499,930.896,937.996,7.1,0.0,False
418,VFL,234499,235538,937.996,942.152,4.156,0.0,False
418,N,235538,254230,942.152,1016.92,74.768,0.0,False
418,VFL,254230,255365,1016.92,1021.46,4.54,0.0,False
418,N,255365,256019,1021.46,1024.076,2.616,0.0,False
418,VFL,256019,256884,1024.076,1027.536,3.46,0.0,False
